agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:glm-5,fake_violations,max-position,0.75,0.75,total_return,5,0.0017575214895317285,0.0005911191231260549,0.00331419840508992,0.125,0.5,0.9849383244624933
poe:glm-5,fake_violations,none,0.25,0.25,total_return,5,0.0015703684839999178,-0.0022172602746151375,0.005282265345170928,0.4375,0.8421052631578947,0.31386878033446375
poe:glm-5,fake_violations,none,0.75,0.75,total_return,5,0.0025984006387949786,-0.0046198733914868725,0.013446110052733013,0.875,1.0,0.21795373393790785
poe:gpt-5.5,fake_rejections,max-position,0.25,0.25,total_return,10,0.0013978198535468654,-7.561161207314953e-05,0.003292276878254363,0.25,0.6575342465753424,0.5024509250947043
poe:gpt-5.5,fake_rejections,max-position,0.75,0.75,total_return,10,9.122557062365421e-05,-0.0007313073468614081,0.001061144945114252,0.9375,1.0,0.058031572010238085
poe:gpt-5.5,fake_rejections,none,0.25,0.25,total_return,10,-0.002463981559569669,-0.007035911344192102,0.0014470674057138234,0.359375,0.7912087912087912,-0.3389549871851552
poe:gpt-5.5,fake_rejections,none,0.75,0.75,total_return,10,-0.0031397770782530072,-0.00975844787728305,0.0034016457019426043,0.396484375,0.8185483870967742,-0.27471726969744786
poe:gpt-5.5,fake_violations,max-position,0.25,0.25,total_return,10,0.0007834728638388619,-0.0001608244579165724,0.002116151311313985,0.3125,0.7317073170731707,0.39454928713637505
poe:gpt-5.5,fake_violations,max-position,0.75,0.75,total_return,10,0.00036519231947289564,-0.0008406031953496207,0.0017399654086665522,0.68359375,0.9795918367346939,0.1641157329593649
poe:gpt-5.5,fake_violations,none,0.25,0.25,total_return,10,-0.003202070022661893,-0.006696534389697285,0.0003866528622199314,0.1328125,0.51,-0.5279797594501391
poe:gpt-5.5,fake_violations,none,0.75,0.75,total_return,10,-0.0035983364423425703,-0.008842192406139265,0.0019708431885395892,0.23046875,0.6575342465753424,-0.39086963124170754
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,0.25,max_drawdown,10,4.535978991733942e-05,-0.00019018197426059845,0.0002699823710554442,0.703125,0.9795918367346939,0.11237663152764509
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,max_drawdown,30,4.8275447399670535e-05,-0.00024726874397053376,0.00034856817846408157,0.7571214392803598,0.9822115969042505,0.05502143217897609
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,0.25,max_drawdown,10,-8.496905582633014e-05,-0.00034480611352457615,0.00020193533259797632,0.59375,0.9193548387096774,-0.18258391141854718
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,max_drawdown,30,-0.00016426876009605103,-0.000550089508610918,0.00017083030113732953,0.40729635182408797,0.8231673636865778,-0.15891043446166575
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,0.25,max_drawdown,10,-5.516440677291541e-05,-0.0002689582890858965,0.0001616216212861529,0.75,0.9795918367346939,-0.15392882204905448
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,max_drawdown,30,-0.00022793594990615378,-0.0005413684869669287,7.480875622137971e-05,0.17091454272863568,0.6,-0.2620577795763985
deepseek:deepseek-v4-pro,fake_violations,none,0.25,0.25,max_drawdown,10,-7.311670578060328e-05,-0.0005164031046371529,0.00040056217755997484,0.78125,1.0,-0.093432819442085
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,max_drawdown,30,0.00027955749978374097,-0.00014271855472768318,0.0007788350380716397,0.2673663168415792,0.6630530888401953,0.21588503806941128
glm:glm-5,fake_rejections,max-position,0.25,0.25,max_drawdown,10,7.755465816891384e-05,-4.584295384084673e-05,0.0002785069283475883,1.0,1.0,0.25614695894706163
glm:glm-5,fake_rejections,max-position,0.75,0.75,max_drawdown,30,-3.7205770038344474e-06,-0.00016384399241466946,0.00017395236104996223,0.9560219890054973,1.0,-0.007829531870129226
