kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
fake_rejections,0.0,0.85,none,5,0.5215,1.08,0.0,0.3646668375346851,-0.024029602249289184
fake_rejections,0.0,0.85,none,6,0.4784166666666667,1.08,0.0,0.25489127081855645,-0.0358274602862676
fake_rejections,0.0,0.85,none,7,0.4875,1.08,0.0,0.31451525027532945,-0.038511135526077656
fake_rejections,0.0,0.85,none,8,0.5148333333333334,1.08,0.0,0.32749663386992256,-0.019535566185919118
fake_rejections,0.0,0.85,none,9,0.48512500000000003,1.08,0.0,0.3881756205095961,-0.020681993685259692
fake_rejections,0.0,0.85,none,10,0.46549999999999997,1.08,0.0,0.27010771716766135,-0.03134185684403512
fake_rejections,0.1,0.85,none,1,0.5078333333333334,1.08,0.0,0.24975293654439845,-0.02449050067879277
fake_rejections,0.1,0.85,none,2,0.44383333333333336,1.08,0.0,0.3086577986870578,-0.03304324190112573
fake_rejections,0.1,0.85,none,3,0.460625,1.08,0.0,0.34630079048519713,-0.023076321793892962
fake_rejections,0.1,0.85,none,4,0.48516666666666663,1.08,0.0,0.34263010112652403,-0.012068395324550507
fake_rejections,0.1,0.85,none,5,0.5215,1.08,0.0,0.3646668375346851,-0.024029602249289184
fake_rejections,0.1,0.85,none,6,0.4784166666666667,1.08,0.0,0.25489127081855645,-0.0358274602862676
fake_rejections,0.1,0.85,none,7,0.4875,1.08,0.0,0.31451525027532945,-0.038511135526077656
fake_rejections,0.1,0.85,none,8,0.5148333333333334,1.08,0.0,0.32749663386992256,-0.019535566185919118
fake_rejections,0.1,0.85,none,9,0.48512500000000003,1.08,0.0,0.3881756205095961,-0.020681993685259692
fake_rejections,0.1,0.85,none,10,0.46549999999999997,1.08,0.0,0.27010771716766135,-0.03134185684403512
fake_rejections,0.25,0.85,none,1,0.44441906141809956,1.0,0.2065921119146995,0.24340948174264931,-0.024291060646280727
fake_rejections,0.25,0.85,none,2,0.3872951569059339,0.9296227887310178,0.1907086193979409,0.3004117805721236,-0.026976960063319844
fake_rejections,0.25,0.85,none,3,0.4072274750188608,1.0,0.1879606272232099,0.3187709616445389,-0.022259497460967448
fake_rejections,0.25,0.85,none,4,0.42581060552438765,1.0,0.1933417150989416,0.34615333080825916,-0.01452153079781715
fake_rejections,0.25,0.85,none,5,0.4518142748925227,0.9296227887310178,0.20007261032094562,0.34417658617989044,-0.01808189464591059
fake_rejections,0.25,0.85,none,6,0.41962259246869493,1.0,0.19640474528362162,0.25839022002409573,-0.027099756962444932
fake_rejections,0.25,0.85,none,7,0.4251746348467511,0.9296227887310178,0.19419009526798434,0.28409566415582876,-0.037430352547834556
fake_rejections,0.25,0.85,none,8,0.44687719961261535,1.0,0.19871011094713875,0.3034181806148504,-0.019881813118348357
fake_rejections,0.25,0.85,none,9,0.42224941093215546,1.0,0.19713955273649733,0.3515605434503337,-0.017029046197686748
fake_rejections,0.25,0.85,none,10,0.4090086358230771,1.0,0.18940829852127558,0.26358248117022254,-0.028376488348481388
fake_rejections,0.5,0.85,none,1,0.39558955376056865,1.0,0.4050261668848459,0.21085489942358127,-0.023182655613960712
fake_rejections,0.5,0.85,none,2,0.3429944111231514,0.8468260695910386,0.3926938918826352,0.28477959037860057,-0.025015430825056306
fake_rejections,0.5,0.85,none,3,0.3641586903060597,1.0,0.38584553503162383,0.30423837863602676,-0.020043638571237143
fake_rejections,0.5,0.85,none,4,0.38103531570216553,1.0,0.39674356733260674,0.2981551279043415,-0.021798825832852642
fake_rejections,0.5,0.85,none,5,0.40036216893811344,0.8468260695910386,0.40507435057638425,0.3166428054205106,-0.015666398633250367
