scenario,level,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E0_ideal,random,5,0.11222071316735649,2.182721824196946,-0.15268250860649124,1.0,847.7320728823229
calm,E0_ideal,random,6,0.036990582683986695,0.7496211836479255,-0.15980825260576625,1.0,827.6431389446665
calm,E0_ideal,random,7,0.06331565836100062,1.315842799047754,-0.14301938798757918,1.0,693.096267780953
calm,E0_ideal,random,8,0.08865719228062985,1.752255447970182,-0.17942549789681816,1.0,786.7871880661114
calm,E0_ideal,random,9,0.1331005350635548,2.7176147437071876,-0.14808532838447352,1.0,907.8219392179008
calm,E0_ideal,random,10,0.13515081025372933,2.4556006370257566,-0.13966206347461152,1.0,773.328199488932
calm,E1_default_stress,buy-and-hold,1,0.058743887862937605,1.0031927429461258,-0.2116857732444728,0.9915966386554622,5427.197184177846
calm,E1_default_stress,buy-and-hold,2,0.04124465179547854,0.6292344882793867,-0.23251521299210443,0.9873949579831933,5904.825372485782
calm,E1_default_stress,buy-and-hold,3,0.061624093257466095,0.9748499522844528,-0.21225145236694398,0.9871244635193133,5387.875977816423
calm,E1_default_stress,buy-and-hold,4,0.09832608689408451,1.4866339027235036,-0.21009341229955658,0.9875,5773.9658676507315
calm,E1_default_stress,buy-and-hold,5,0.1379937778162894,2.054905372150224,-0.20032235821318367,0.9874476987447699,6044.179672832501
calm,E1_default_stress,buy-and-hold,6,0.025657713793367787,0.44310100396598695,-0.23569196068517162,0.9874476987447699,6299.956426875932
calm,E1_default_stress,buy-and-hold,7,0.09375403587326958,1.5738586996513517,-0.17893377423942303,0.9832635983263598,5220.931491488546
calm,E1_default_stress,buy-and-hold,8,0.03661493267362714,0.6437926683915024,-0.2277667109528606,0.9831223628691983,5367.44908640356
calm,E1_default_stress,buy-and-hold,9,0.1387606962807666,2.11134781392378,-0.2303999079878445,0.9873949579831933,6127.116093680054
calm,E1_default_stress,buy-and-hold,10,0.09194345276395799,1.356974558738519,-0.2203384713378177,0.9873417721518988,6024.683863168611
calm,E1_default_stress,signal-weighted,1,0.17038390024899197,4.550915934721127,-0.024951499946940014,0.9054054054054054,2953.377451236927
calm,E1_default_stress,signal-weighted,2,0.21367177300709939,5.773582024963883,-0.023402188071225738,0.9256198347107438,2899.1427296687393
calm,E1_default_stress,signal-weighted,3,0.2542819482313263,5.559532971102129,-0.017982181086112492,0.9032258064516129,2989.349678653938
calm,E1_default_stress,signal-weighted,4,0.2392380605389015,5.957017331860424,-0.01271007144771319,0.9015151515151515,3501.537483372704
calm,E1_default_stress,signal-weighted,5,0.25980089074348967,5.851465277266294,-0.017715043837382094,0.9473684210526315,3031.7689278002335
calm,E1_default_stress,signal-weighted,6,0.2311203101461783,6.545111728560881,-0.023412221883285955,0.9140625,3027.0710590961758
calm,E1_default_stress,signal-weighted,7,0.2270298124879071,6.347121715392597,-0.01948777993360873,0.9354838709677419,3232.991068176717
calm,E1_default_stress,signal-weighted,8,0.22411927807154997,5.844470977679712,-0.02068307003971237,0.9185185185185185,3179.9682527431896
calm,E1_default_stress,signal-weighted,9,0.30088342357887243,7.3197065709763525,-0.010539031187734804,0.9365079365079365,3020.092957556815
calm,E1_default_stress,signal-weighted,10,0.17223649677032715,4.448705111179724,-0.02337894251662853,0.90625,3243.814595410992
calm,E1_default_stress,naive-momentum,1,0.24191965771108714,4.643384189800312,-0.06130454842843858,0.926829268292683,5780.695375578045
calm,E1_default_stress,naive-momentum,2,0.2895141748417047,5.282571242015873,-0.05011106856241654,0.9225806451612903,6442.64895729103
calm,E1_default_stress,naive-momentum,3,0.3749563352409855,6.859130919596724,-0.026203670209342667,0.920863309352518,4806.63393514688
calm,E1_default_stress,naive-momentum,4,0.2907850670482792,6.756760178699495,-0.02950090910616343,0.9241379310344827,4797.724129469202
calm,E1_default_stress,naive-momentum,5,0.3954624642530138,7.430089821967938,-0.030184208321219597,0.9315068493150684,6169.764229584383
calm,E1_default_stress,naive-momentum,6,0.4158820553366447,7.689527401839588,-0.028210498937729422,0.9251700680272109,5464.978369222968
calm,E1_default_stress,naive-momentum,7,0.2816349116183361,6.525171775161298,-0.027856003013298936,0.9214285714285714,4734.026365784512
calm,E1_default_stress,naive-momentum,8,0.2820531545579872,5.886481164658841,-0.051880303497000346,0.9245283018867925,5810.779648257968
calm,E1_default_stress,naive-momentum,9,0.4554271039353006,8.610676116173016,-0.012309174582874949,0.934640522875817,5420.691408370347
calm,E1_default_stress,naive-momentum,10,0.27367846885043945,5.208453679226457,-0.039265949575217896,0.9172413793103448,4876.883949538181
calm,E1_default_stress,mean-reversion,1,-0.209849587810095,-5.561214975192135,-0.22597043985241327,0.9043478260869565,3928.847942890544
