timestamp,symbol,bid,ask,bid_qty,ask_qty,transaction_time,event_time,update_id
2024-03-01T00:09:27.126000Z,BTCUSDT,61397.30000000,61397.40000000,3.87200000,2.11000000,2024-03-01T00:09:27.126000Z,2024-03-01T00:09:27.131000Z,4070973852014
2024-03-01T00:09:28.126000Z,BTCUSDT,61397.30000000,61397.40000000,4.08500000,1.49200000,2024-03-01T00:09:28.126000Z,2024-03-01T00:09:28.132000Z,4070973901157
2024-03-01T00:09:29.166000Z,BTCUSDT,61397.30000000,61397.40000000,4.16000000,1.47300000,2024-03-01T00:09:29.166000Z,2024-03-01T00:09:29.173000Z,4070973946546
2024-03-01T00:09:30.192000Z,BTCUSDT,61397.30000000,61397.40000000,0.66600000,4.27900000,2024-03-01T00:09:30.192000Z,2024-03-01T00:09:30.195000Z,4070974012915
2024-03-01T00:09:31.192000Z,BTCUSDT,61397.30000000,61397.40000000,2.16300000,3.70900000,2024-03-01T00:09:31.192000Z,2024-03-01T00:09:31.198000Z,4070974062043
2024-03-01T00:09:32.195000Z,BTCUSDT,61397.30000000,61397.40000000,2.05600000,3.41700000,2024-03-01T00:09:32.195000Z,2024-03-01T00:09:32.201000Z,4070974111914
2024-03-01T00:09:33.201000Z,BTCUSDT,61397.30000000,61397.40000000,3.62300000,1.62300000,2024-03-01T00:09:33.201000Z,2024-03-01T00:09:33.207000Z,4070974174675
2024-03-01T00:09:34.321000Z,BTCUSDT,61397.30000000,61397.40000000,3.65500000,1.20900000,2024-03-01T00:09:34.321000Z,2024-03-01T00:09:34.326000Z,4070974259922
2024-03-01T00:09:35.330000Z,BTCUSDT,61397.30000000,61397.40000000,4.37300000,0.85200000,2024-03-01T00:09:35.330000Z,2024-03-01T00:09:35.335000Z,4070974344618
2024-03-01T00:09:36.341000Z,BTCUSDT,61397.20000000,61397.30000000,0.58800000,10.64200000,2024-03-01T00:09:36.341000Z,2024-03-01T00:09:36.346000Z,4070974414376
2024-03-01T00:09:37.351000Z,BTCUSDT,61391.20000000,61391.30000000,2.40300000,4.45200000,2024-03-01T00:09:37.351000Z,2024-03-01T00:09:37.357000Z,4070974488092
2024-03-01T00:09:38.354000Z,BTCUSDT,61391.20000000,61391.30000000,2.94400000,4.81400000,2024-03-01T00:09:38.354000Z,2024-03-01T00:09:38.359000Z,4070974544415
2024-03-01T00:09:39.364000Z,BTCUSDT,61391.20000000,61391.30000000,5.40400000,2.33400000,2024-03-01T00:09:39.364000Z,2024-03-01T00:09:39.370000Z,4070974596179
2024-03-01T00:09:40.367000Z,BTCUSDT,61391.20000000,61391.30000000,7.20900000,2.29700000,2024-03-01T00:09:40.367000Z,2024-03-01T00:09:40.373000Z,4070974678797
