frequency,sessions_per_week,decision_interval_minutes,n_symbols,approval_latency_minutes,review_base_minutes,review_minutes_per_order,expiry_minutes,weekly_budget_minutes,chain_compute_p95_ms,attention_minutes_per_session,effective_latency_minutes,session_wall_minutes,weekly_attention_minutes,expiry_ok,backlog_ok,budget_ok,feasible,binding_constraints,session_of_first_expiry,auto_approval_fraction_for_budget
weekly,1.0,10080.0,43,1.0,2.0,0.2,1440.0,60.0,155.9585,10.6,10.6,10.602599,10.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,43,5.0,2.0,0.2,1440.0,60.0,155.9585,10.6,10.6,10.602599,10.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,43,15.0,2.0,0.2,1440.0,60.0,155.9585,10.6,15.0,15.002599,10.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,43,60.0,2.0,0.2,1440.0,60.0,155.9585,10.6,60.0,60.002599,10.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,44,1.0,2.0,0.2,1440.0,60.0,155.8474,10.8,10.8,10.802597,10.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,44,5.0,2.0,0.2,1440.0,60.0,155.8474,10.8,10.8,10.802597,10.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,44,15.0,2.0,0.2,1440.0,60.0,155.8474,10.8,15.0,15.002597,10.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,44,60.0,2.0,0.2,1440.0,60.0,155.8474,10.8,60.0,60.002597,10.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,45,1.0,2.0,0.2,1440.0,60.0,155.7363,11.0,11.0,11.002596,11.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,45,5.0,2.0,0.2,1440.0,60.0,155.7363,11.0,11.0,11.002596,11.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,45,15.0,2.0,0.2,1440.0,60.0,155.7363,11.0,15.0,15.002596,11.0,True,True,True,True,,,0.0
