model_id,scenario_id,metric,estimand,estimate,base_pairs,seed_clusters
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,interaction,2.812396190193567,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,execution_shapley,-2.13608851190705,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_shapley,1.0816064583782834,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,observed_diagonal,-1.0544820535287667,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I0,-0.02242687830363333,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I1,-0.016893553167533333,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X0,0.02220547518816667,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X1,0.027738800324266667,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,interaction,0.005533325136099997,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,execution_shapley,-0.019660215735583332,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,response_origin_shapley,0.024972137756216668,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,total_return,observed_diagonal,0.005311922020633336,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I0,-1.7111467396239668,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I1,-1.2322825326189335,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X0,1.8580554803333003,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X1,2.3369196873383333,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,interaction,0.47886420700503324,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,execution_shapley,-1.4717146361214501,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_shapley,2.0974875838358167,30,10
glm-5-turbo,synthetic_jump_tail_c0_v0_3,sharpe,observed_diagonal,0.6257729477143666,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I0,-0.011252187761666666,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I1,-0.009369867718199996,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X0,-0.011043303350300003,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X1,-0.009160983306833336,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,interaction,0.0018823200434666676,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,execution_shapley,-0.010311027739933332,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,response_origin_shapley,-0.01010214332856667,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,total_return,observed_diagonal,-0.0204131710685,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I0,-7.469145632652167,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I1,-5.069539584566067,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X0,-0.8571406189922666,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X1,1.5424654290938333,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,interaction,2.3996060480861003,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,execution_shapley,-6.269342608609117,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_shapley,0.34266240505078344,30,10
glm-5.2,synthetic_calm_trend_c0_v0_3,sharpe,observed_diagonal,-5.926680203558334,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I0,-0.019031780664066664,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I1,-0.011830897116100003,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X0,-0.010076429260533332,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X1,-0.002875545712566671,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,interaction,0.007200883547966661,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,execution_shapley,-0.015431338890083334,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,response_origin_shapley,-0.006475987486550002,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,total_return,observed_diagonal,-0.021907326376633333,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I0,-2.9146324297402333,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I1,-1.9966867331247666,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X0,0.08465317223256677,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X1,1.0025988688480336,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,interaction,0.917945696615467,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,execution_shapley,-2.4556595814325,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_shapley,0.5436260205403002,30,10
glm-5.2,synthetic_high_volatility_c0_v0_3,sharpe,observed_diagonal,-1.9120335608922,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I0,-0.059407595196300005,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I1,-0.031491821137600004,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X0,-0.02546985021966667,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X1,0.0024459238390333333,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,interaction,0.027915774058700004,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,execution_shapley,-0.04544970816695,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,response_origin_shapley,-0.011511963190316667,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,total_return,observed_diagonal,-0.056961671357266666,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I0,-2.6183691830376667,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I1,-1.8210161096009,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X0,-0.13115670610943334,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X1,0.6661963673273334,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,interaction,0.7973530734367668,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,execution_shapley,-2.219692646319283,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_shapley,0.26751983060895,30,10
glm-5.2,synthetic_jump_tail_c0_v0_3,sharpe,observed_diagonal,-1.9521728157103333,30,10
